"Manufacturer Name";"Product Code";"Model Number";"Product Name";"Retailer Product Code";"Category";"Product URL";"Image URL";"Stock";"Product Price";"Currency"
"PHILIPS";"8711500642219";"";"Tub fluorescent circular Philips TL5 Circular 22W, 2GX13, tub C-T5, 8000 ore, lumina neutra";"PS00100";"PH SURSE";"http://etbm.ro/tub-fluorescent-circular-philips-tl5-circular-22w-2gx13-tub-c-t5-8000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013211_tub-fluorescent-circular-philips-tl5-circular-22w-2gx13-tub-c-t5-8000-ore-lumina-neutra.jpeg";"13";"53.62";"RON"
"PHILIPS";"8711500315274";"";"Bec economic circular Philips Circular 25W, E27, 6000 ore, lumina calda";"PS00101";"PH SURSE";"http://etbm.ro/bec-economic-circular-philips-circular-25w-e27-6000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0011154_bec-economic-circular-philips-circular-25w-e27-6000-ore-lumina-calda.jpeg";"15";"36.88";"RON"
"PHILIPS";"8711500317056";"";"Bec economic circular Philips Circular 25W, E27, 6000 ore, lumina rece";"PS00102";"PH SURSE";"http://etbm.ro/bec-economic-circular-philips-circular-25w-e27-6000-ore-lumina-rece";"http://etbm.ro/\content\images\thumbs\0011155_bec-economic-circular-philips-circular-25w-e27-6000-ore-lumina-rece.jpeg";"1";"59.38";"RON"
"PHILIPS";"8711500639448";"";"Tub fluorescent Philips Master TL5 HE 21W, G5, lumina neutra";"PS00194";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-master-tl5-he-21w-g5-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013316_tub-fluorescent-philips-master-tl5-he-21w-g5-lumina-neutra.jpeg";"55";"12.25";"RON"
"PHILIPS";"8711500639523";"";"Tub fluorescent Philips Master TL5 HE 35W, G5, lumina neutra";"PS00196";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-master-tl5-he-35w-g5-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013329_tub-fluorescent-philips-master-tl5-he-35w-g5-lumina-neutra.jpeg";"284";"13.83";"RON"
"PHILIPS";"8711500639387";"";"Tub fluorescent Philips Master TL5 HE 14W, G5, lumina calda";"PS00197";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-master-tl5-he-14w-g5-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013309_tub-fluorescent-philips-master-tl5-he-14w-g5-lumina-calda.jpeg";"161";"11.84";"RON"
"PHILIPS";"8711500639424";"";"Tub fluorescent Philips Master TL5 HE 21W, G5, lumina calda";"PS00198";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-master-tl5-he-21w-g5-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013321_tub-fluorescent-philips-master-tl5-he-21w-g5-lumina-calda.jpeg";"65";"10.33";"RON"
"PHILIPS";"8711500623331";"";"Bec economic 4 pini Philips MASTER PL-C 4P 18W, G24Q-2, 8000 ore, lumina calda";"PS00269";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-c-4p-18w-g24q-2-8000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013160_bec-economic-4-pini-philips-master-pl-c-4p-18w-g24q-2-8000-ore-lumina-calda.jpeg";"264";"11.14";"RON"
"PHILIPS";"8711500623348";"";"Bec economic 4 pini Philips MASTER PL-C 4P 18W, G24Q-2, 8000 ore, lumina neutra";"PS00270";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-c-4p-18w-g24q-2-8000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013165_bec-economic-4-pini-philips-master-pl-c-4p-18w-g24q-2-8000-ore-lumina-neutra.jpeg";"183";"9.84";"RON"
"PHILIPS";"8711500620910";"";"Bec economic 2 pini Philips MASTER PL-C 2P 18W, G24D-2, 8000 ore, lumina calda";"PS00271";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-c-2p-18w-g24d-2-8000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013158_bec-economic-2-pini-philips-master-pl-c-2p-18w-g24d-2-8000-ore-lumina-calda.jpeg";"63";"13.47";"RON"
"PHILIPS";"8711500620934";"";"Bec economic 2 pini Philips MASTER PL-C 2P 18W, G24D-2, 8000 ore, lumina neutra";"PS00272";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-c-2p-18w-g24d-2-8000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013164_bec-economic-2-pini-philips-master-pl-c-2p-18w-g24d-2-8000-ore-lumina-neutra.jpeg";"17";"10.12";"RON"
"PHILIPS";"8711500620989";"";"Bec economic 2 pini Philips MASTER PL-C 2P 26W, G24D-3, 8000 ore, lumina calda";"PS00274";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-c-2p-26w-g24d-3-8000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013470_bec-economic-2-pini-philips-master-pl-c-2p-26w-g24d-3-8000-ore-lumina-calda.jpeg";"116";"13.47";"RON"
"PHILIPS";"8711500623355";"";"Bec economic 4 pini Philips MASTER PL-C 4P 26W, G24Q-3, 8000 ore, lumina calda";"PS00275";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-c-4p-26w-g24q-3-8000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013478_bec-economic-4-pini-philips-master-pl-c-4p-26w-g24q-3-8000-ore-lumina-calda.jpeg";"121";"13.47";"RON"
"PHILIPS";"8711500621009";"";"Bec economic 2 pini Philips MASTER PL-C 2P 26W, G24D-3, 8000 ore, lumina neutra";"PS00276";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-c-2p-26w-g24d-3-8000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013475_bec-economic-2-pini-philips-master-pl-c-2p-26w-g24d-3-8000-ore-lumina-neutra.jpeg";"229";"10.12";"RON"
"PHILIPS";"8711500623362";"";"Bec economic 4 pini Philips MASTER PL-C 4P 26W, G24Q-3, 8000 ore, lumina neutra";"PS00277";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-c-4p-26w-g24q-3-8000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013480_bec-economic-4-pini-philips-master-pl-c-4p-26w-g24q-3-8000-ore-lumina-neutra.jpeg";"137";"9.79";"RON"
"PHILIPS";"8711500706683";"";"Bec economic 4 pini Philips MASTER PL-L 4P 18W, 2G11, 14000 ore, lumina calda";"PS00289";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-l-4p-18w-2g11-14000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013167_bec-economic-4-pini-philips-master-pl-l-4p-18w-2g11-14000-ore-lumina-calda.jpeg";"55";"17.21";"RON"
"PHILIPS";"8711500706720";"";"Bec economic 4 pini Philips MASTER PL-L 4P 24W, 2G11, 14000 ore, lumina neutra";"PS00290";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-l-4p-24w-2g11-14000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013477_bec-economic-4-pini-philips-master-pl-l-4p-24w-2g11-14000-ore-lumina-neutra.jpeg";"202";"13.64";"RON"
"PHILIPS";"8711500706744";"";"Bec economic 4 pini Philips MASTER PL-L 4P 36W, 2G11, 14000 ore, lumina calda";"PS00291";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-l-4p-36w-2g11-14000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013504_bec-economic-4-pini-philips-master-pl-l-4p-36w-2g11-14000-ore-lumina-calda.jpeg";"100";"17.21";"RON"
"PHILIPS";"8711500706751";"";"Bec economic 4 pini Philips MASTER PL-L 4P 36W, 2G11, 14000 ore, lumina neutra";"PS00292";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-l-4p-36w-2g11-14000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013516_bec-economic-4-pini-philips-master-pl-l-4p-36w-2g11-14000-ore-lumina-neutra.jpeg";"41";"11.21";"RON"
